"BehaviorSpace results (NetLogo 6.3.0)"
"Party.nlogo"
"experiment groups"
"11/17/2022 09:47:07:871 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","1","-55","55"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
"tolerance","0","0","0","10","10","10","20","20","20","30","30","30","40","40","40","50","50","50","60","60","60","70","70","70","80","80","80","90","90","90","100","100","100"
"number","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70"
"num-groups","5","10","20","5","10","20","5","10","20","5","10","20","5","10","20","5","10","20","5","10","20","5","10","20","5","10","20","5","10","20","5","10","20"
"[steps]","1000","1000","1000","1000","1000","1000","23","20","21","14","8","13","4","5","7","6","6","7","10","8","8","2","3","3","0","0","2","0","0","0","0","0","0"

"[initial & final values]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
,"70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70"
